Chromosome	Start.bp	End.bp	mu.major	mu.minor	n_probes	length	tau	sigma.minor	sigma.major
1	1	52520725	1.0	1.0	2557	6232815	5.3437312	0.004958304549184437	0.011971853248191989
1	52520725	53550904	1.0	0.7	3030	68792432	5.1063329	0.003219756241942264	0.017464501056733958
1	53550904	63711847	1.0	1.0	3606	36990966	5.1281972	0.01264972565352466	0.031400030465306907
1	63711847	63740957	1.0	0.0	3690	31101461	3.9863001999999996	0.0019032256426514578	0.023092159807479563
1	63740957	65529663	3.0	0.0	358	58460278	1.4031407999999999	0.006411620046296885	0.008668991282490697
1	65529663	68700926	3.0	1.0	4048	21123546	0.6580775	0.0006372385909598305	0.00412752436115799
1	68700926	69848506	1.0	1.0	4425	92926066	5.2950066	0.016236656376790358	0.017949894952345967
1	69848506	69947299	3.0	1.0	4976	69223473	0.0314705	0.002379184473723279	0.01413326741262264
1	69947299	91510490	1.0	1.0	3085	96924183	3.7649182999999997	0.0003538968274396877	0.009250192067497125
1	91510490	96892281	2.0	1.0	5417	30826756	4.3634221	0.005375921002134262	0.010367091243824381
1	96892281	98788116	3.0	2.0	3566	10028508	5.3090473	0.003992626410048386	0.006150144387045519
1	98788116	99717284	2.0	1.0	1986	23647441	3.2139211999999997	0.009703346193870924	0.013767226701078028
1	99717284	112341904	1.0	1.0	2581	35622142	3.4464493999999997	0.0007515804881912937	0.018198293255086314
1	112341904	117363807	1.0	0.0	347	89422312	1.8862797	0.00632423957428981	0.03547594565065944
1	117363807	125590488	1.0	1.0	1326	66674065	1.0046334	0.0010161878774178294	0.0015300567297868997
1	125590488	127743964	1.0	0.0	1456	23080957	4.0995058	0.0017069010604301358	0.00927783022343123
1	127743964	145024933	1.0	1.0	15	26629742	1.8213633	0.0006041739364905618	0.002817248179434146
1	145024933	146590727	1.0	0.7	3814	48649127	5.164430299999999	0.013902786492479186	0.023301274504990806
1	146590727	148184116	0.97	0.7	5248	31934554	2.3402290999999997	0.004986003966126185	0.005282332353582115
1	148184116	148575325	1.0	0.7	5404	99005003	4.0597069	0.004943953268608072	0.006486277837559331
1	148575325	153651773	1.0	1.0	5010	49375578	1.5249538999999999	0.003061310260811683	0.008288483991035482
1	153651773	157113678	3.0	1.0	3617	98984619	4.4628551	0.0018106716582818234	0.0026154395615088106
1	157113678	158711079	1.0	1.0	4449	5886672	4.2710142	0.009816059183327855	0.03059133393746707
1	158711079	160810481	1.0	0.0	328	78026871	4.188661	0.0011306405780036023	0.011244336846669742
1	160810481	167774441	1.0	1.0	2445	89244598	0.7060158	0.014805604862253987	0.01854043697517918
1	167774441	169740096	4.0	1.0	3307	86233227	0.6012092	0.0005516628827964955	0.03952440354452341
1	169740096	202974138	1.0	1.0	2858	3276154	1.3645490999999998	0.002956070414783643	0.013280487113827413
1	202974138	205157020	1.3	1.0	5605	31234372	5.193090799999999	0.0019643798242715608	0.004753325950482077
1	205157020	212567603	1.0	1.0	5359	64480243	3.5958197999999997	0.02123074315326091	0.025139314934381676
1	212567603	216786790	1.0	0.95	680	38444279	3.3060764999999996	0.0011014435592606275	0.0043230470635061725
1	216786790	231013376	1.0	1.0	1437	9275259	3.1538645	0.002229651001474767	0.00693796029681121
1	231013376	236647014	1.0	0.09999999999999998	3455	5390406	0.9031536	0.00544694431794113	0.01458402568131502
