Chromosome	Start.bp	End.bp	mu.major	mu.minor	n_probes	length	tau	sigma.minor	sigma.major
1	1	52520725	1.0	1.0	3566	23577375	3.7840542999999998	0.004638604303434721	0.012943134748175402
1	52520725	53550904	1.0	0.85	4309	35892110	2.8118773	0.006873715114589983	0.009770187414528082
1	53550904	63711847	1.0	1.0	1789	30105507	2.3216011	0.01100189206734821	0.025086828839243857
1	63711847	63740957	1.0	0.0	5064	59904911	3.4033504999999997	0.005359140483905179	0.054522091559337564
1	63740957	65529663	3.0	0.0	1788	8894303	4.1263568	0.015505789466869454	0.01724736571373069
1	65529663	68700926	3.0	1.0	437	57654777	5.130058	0.0006391926777823484	0.0016490934674007988
1	68700926	69848506	1.0	1.0	2381	24808792	4.1528463	0.002387104097884735	0.024478611449268307
1	69848506	69947299	3.0	1.0	4714	23989303	2.5908389	0.014006269837995269	0.021515088696817532
1	69947299	91510490	1.0	1.0	4570	95561985	4.4347696	0.0019483385929153635	0.006056838956023353
1	91510490	96892281	2.0	1.0	5108	94481367	2.6472637999999997	0.0011263848070889372	0.011288298162927526
1	96892281	98788116	3.0	2.0	3929	68123206	0.5859378	0.0027243416585039726	0.005952560350873001
1	98788116	99717284	2.0	1.0	3039	54339849	5.229525	0.00807584652567437	0.015193475166588635
1	99717284	112341904	1.0	1.0	5388	75559898	1.105431	0.004991495044149442	0.0152203780618571
1	112341904	117363807	1.0	0.0	2247	26645649	1.9288489999999998	0.0028357876758417456	0.004678150878658155
1	117363807	125590488	1.0	1.0	4793	59629570	3.2191658999999997	0.0033612709380649876	0.037864333419844895
1	125590488	127743964	1.0	0.0	1904	25996670	3.4865637	0.005474956738747448	0.026334458416005044
1	127743964	145024933	1.0	1.0	5861	51474773	4.7647565	0.0015136452053899335	0.0030259900976065774
1	145024933	146590727	1.0	0.85	251	76108343	4.4313399	0.007157986618300125	0.03734125396017409
1	146590727	148184116	0.95	0.85	4831	28486087	4.045810299999999	0.0002726964101344329	0.004318782224126517
